nyj,1990,6-10-0,6.5-9.5
nyj,1991,8-8-0,8.7-7.3
nyj,1992,4-12-0,4.8-11.2
nyj,1993,8-8-0,8.8-7.2
nyj,1994,6-10-0,6.2-9.8
nyj,1995,3-13-0,3.7-12.3
nyj,1996,1-15-0,3.8-12.2
nyj,1997,9-7-0,9.8-6.2
nyj,1998,12-4-0,11.9-4.1
nyj,1999,8-8-0,8.0-8.0
nyj,2000,9-7-0,8.0-8.0
nyj,2001,10-6-0,8.4-7.6
nyj,2002,9-7-0,8.6-7.4
nyj,2003,6-10-0,7.5-8.5
nyj,2004,10-6-0,10.2-5.8
nyj,2005,4-12-0,4.5-11.5
nyj,2006,10-6-0,8.7-7.3
nyj,2007,4-12-0,5.4-10.6
nyj,2008,9-7-0,9.2-6.8
nyj,2009,9-7-0,11.4-4.6
nyj,2010,11-5-0,9.8-6.2
nyj,2011,8-8-0,8.4-7.6
nyj,2012,6-10-0,5.4-10.6
nyj,2013,8-8-0,5.4-10.6
nyj,2014,4-12-0,4.9-11.1
oti,1988,10-6-0,9.4-6.6
oti,1989,9-7-0,6.9-9.1
oti,1990,9-7-0,10.5-5.5
oti,1991,11-5-0,11.8-4.2
oti,1992,10-6-0,10.8-5.2
oti,1993,12-4-0,11.8-4.2
oti,1994,2-14-0,4.1-11.9
oti,1995,7-9-0,8.7-7.3
oti,1996,8-8-0,8.7-7.3
oti,1997,8-8-0,8.7-7.3
oti,1998,8-8-0,8.3-7.7
oti,1999,13-3-0,9.8-6.2
oti,2000,13-3-0,12.9-3.1
oti,2001,7-9-0,6.6-9.4
oti,2002,11-5-0,9.2-6.8
oti,2003,12-4-0,10.7-5.3
oti,2004,5-11-0,5.8-10.2
oti,2005,4-12-0,4.9-11.1
oti,2006,8-8-0,6.0-10.0
oti,2007,10-6-0,8.1-7.9
oti,2008,13-3-0,12.1-3.9
oti,2009,8-8-0,6.8-9.2
oti,2010,6-10-0,8.5-7.5
oti,2011,9-7-0,8.2-7.8
oti,2012,6-10-0,4.8-11.2
oti,2013,7-9-0,7.5-8.5
oti,2014,2-14-0,3.4-12.6
phi,1988,10-6-0,9.6-6.4
phi,1989,11-5-0,10.1-5.9
phi,1990,10-6-0,10.6-5.4
phi,1991,10-6-0,9.5-6.5
phi,1992,11-5-0,11.3-4.7
phi,1993,8-8-0,7.3-8.7
phi,1994,7-9-0,8.0-8.0
phi,1995,10-6-0,7.4-8.6
phi,1996,10-6-0,8.6-7.4
phi,1997,6-9-1,6.5-9.5
phi,1998,3-13-0,2.3-13.7
phi,1999,5-11-0,5.5-10.5
phi,2000,11-5-0,11.2-4.8
phi,2001,11-5-0,12.3-3.7
phi,2002,12-4-0,12.5-3.5
phi,2003,12-4-0,10.4-5.6
phi,2004,13-3-0,11.5-4.5
phi,2005,6-10-0,5.9-10.1
phi,2006,10-6-0,9.8-6.2
phi,2007,8-8-0,9.1-6.9
phi,2008,9-6-1,11.3-4.7
phi,2009,11-5-0,10.2-5.8
phi,2010,10-6-0,9.4-6.6
phi,2011,8-8-0,9.8-6.2
phi,2012,4-12-0,4.0-12.0
phi,2013,10-6-0,9.4-6.6
phi,2014,10-6-0,9.6-6.4
pit,1988,5-11-0,5.9-10.1
pit,1989,9-7-0,6.1-9.9
pit,1990,9-7-0,9.8-6.2
pit,1991,7-9-0,6.5-9.5
pit,1992,11-5-0,10.6-5.4
pit,1993,9-7-0,8.9-7.1
pit,1994,12-4-0,10.7-5.3
pit,1995,11-5-0,10.0-6.0
pit,1996,10-6-0,10.7-5.3
pit,1997,11-5-0,9.8-6.2
pit,1998,7-9-0,6.7-9.3
pit,1999,6-10-0,7.9-8.1
pit,2000,9-7-0,10.1-5.9
pit,2001,13-3-0,12.3-3.7
pit,2002,10-5-1,9.2-6.8
pit,2003,6-10-0,7.2-8.8
pit,2004,15-1-0,11.5-4.5
pit,2005,11-5-0,11.6-4.4
pit,2006,8-8-0,9.1-6.9
pit,2007,10-6-0,11.4-4.6
pit,2008,12-4-0,11.8-4.2
pit,2009,9-7-0,9.2-6.8
pit,2010,12-4-0,12.1-3.9
pit,2011,12-4-0,11.2-4.8
pit,2012,8-8-0,8.6-7.4
pit,2013,8-8-0,8.2-7.8
pit,2014,11-5-0,9.6-6.4
rai,1988,7-9-0,6.8-9.2
rai,1989,8-8-0,8.6-7.4
rai,1990,12-4-0,10.1-5.9
rai,1991,9-7-0,8.0-8.0
rai,1992,7-9-0,6.9-9.1
rai,1993,10-6-0,7.4-8.6
rai,1994,9-7-0,7.3-8.7
rai,1995,8-8-0,8.4-7.6
rai,1996,7-9-0,9.4-6.6
rai,1997,4-12-0,5.6-10.4
rai,1998,8-8-0,6.0-10.0
rai,1999,8-8-0,9.6-6.4
rai,2000,12-4-0,12.1-3.9
rai,2001,10-6-0,9.9-6.1
rai,2002,11-5-0,11.5-4.5
rai,2003,4-12-0,4.9-11.1
rai,2004,5-11-0,5.1-10.9
rai,2005,4-12-0,5.5-10.5
rai,2006,2-14-0,2.7-13.3
rai,2007,4-12-0,4.9-11.1
rai,2008,5-11-0,4.6-11.4
rai,2009,5-11-0,2.8-13.2
rai,2010,8-8-0,8.9-7.1
rai,2011,8-8-0,6.3-9.7
rai,2012,4-12-0,4.3-11.7
rai,2013,4-12-0,4.9-11.1
rai,2014,3-13-0,3.2-12.8
ram,1988,10-6-0,11.0-5.0
ram,1989,11-5-0,10.0-6.0
ram,1990,5-11-0,6.3-9.7
ram,1991,3-13-0,3.7-12.3
ram,1992,6-10-0,6.1-9.9
ram,1993,5-11-0,3.7-12.3
ram,1994,4-12-0,5.8-10.2
ram,1995,7-9-0,5.3-10.7
ram,1996,6-10-0,5.3-10.7
ram,1997,5-11-0,6.3-9.7
ram,1998,4-12-0,5.4-10.6
ram,1999,13-3-0,13.8-2.2
ram,2000,10-6-0,9.3-6.7
ram,2001,14-2-0,13.0-3.0
ram,2002,7-9-0,6.5-9.5
ram,2003,12-4-0,10.8-5.2
ram,2004,8-8-0,6.1-9.9
ram,2005,6-10-0,6.4-9.6
ram,2006,8-8-0,7.6-8.4
ram,2007,3-13-0,3.7-12.3
ram,2008,2-14-0,2.6-13.4
ram,2009,1-15-0,1.6-14.4
ram,2010,7-9-0,6.8-9.2
ram,2011,2-14-0,2.3-13.7
ram,2012,7-8-1,6.6-9.4
ram,2013,7-9-0,7.6-8.4
ram,2014,6-10-0,7.2-8.8
rav,1996,4-12-0,6.4-9.6
rav,1997,6-9-1,7.5-8.5
rav,1998,6-10-0,6.0-10.0
rav,1999,8-8-0,9.5-6.5
rav,2000,12-4-0,13.5-2.5
rav,2001,10-6-0,9.3-6.7
rav,2002,7-9-0,6.9-9.1
rav,2003,10-6-0,11.0-5.0
rav,2004,9-7-0,9.6-6.4
rav,2005,6-10-0,6.9-9.1
rav,2006,13-3-0,12.7-3.3
rav,2007,5-11-0,5.0-11.0
rav,2008,11-5-0,11.9-4.1
rav,2009,9-7-0,11.6-4.4
rav,2010,12-4-0,10.6-5.4
rav,2011,12-4-0,11.2-4.8
rav,2012,10-6-0,9.4-6.6
rav,2013,8-8-0,7.1-8.9
rav,2014,10-6-0,10.8-5.2
sdg,1988,6-10-0,4.8-11.2
sdg,1989,6-10-0,7.2-8.8
sdg,1990,6-10-0,9.1-6.9
sdg,1991,4-12-0,5.9-10.1
sdg,1992,11-5-0,11.0-5.0
sdg,1993,8-8-0,9.0-7.0
sdg,1994,11-5-0,10.0-6.0
sdg,1995,9-7-0,7.9-8.1
sdg,1996,8-8-0,6.2-9.8
sdg,1997,4-12-0,4.0-12.0
sdg,1998,5-11-0,4.9-11.1
sdg,1999,8-8-0,6.5-9.5
sdg,2000,1-15-0,3.8-12.2
sdg,2001,5-11-0,8.3-7.7
sdg,2002,8-8-0,7.1-8.9
sdg,2003,4-12-0,4.9-11.1
sdg,2004,12-4-0,11.2-4.8
sdg,2005,9-7-0,10.7-5.3
sdg,2006,14-2-0,12.1-3.9
sdg,2007,11-5-0,11.3-4.7
sdg,2008,8-8-0,10.2-5.8
sdg,2009,13-3-0,11.1-4.9
sdg,2010,9-7-0,10.9-5.1
sdg,2011,8-8-0,8.7-7.3
sdg,2012,7-9-0,8.0-8.0
sdg,2013,9-7-0,9.2-6.8
sdg,2014,9-7-0,8.0-8.0
sea,1988,9-7-0,8.3-7.7
sea,1989,7-9-0,5.2-10.8
sea,1990,9-7-0,8.6-7.4
sea,1991,7-9-0,8.5-7.5
sea,1992,2-14-0,2.1-13.9
sea,1993,6-10-0,6.9-9.1
sea,1994,6-10-0,6.9-9.1
sea,1995,8-8-0,7.9-8.1
